"...1","date","close","open","high","low"
"BTC",2013-10-01,123.65499,124.30466,124.75166,122.56349
"BTC",2013-10-03,108.58483,125.455,125.66566,83.32833
"BTC",2013-10-05,121.33866,118.67466,121.93633,118.00566
"BTC",2013-10-07,121.795,120.65533,121.99166,120.43199
"BTC",2013-10-09,124.049,123.033,124.7835,122.59266
"BTC",2013-10-11,125.27966,125.96116,126.43666,124.11383
"BTC",2013-10-13,126.38333,125.9275,126.8965,125.2765
"BTC",2013-10-15,133.20333,135.24199,135.69216,130.39275
"BTC",2013-10-17,137.92333,142.76333,145.601,136.01466
"BTC",2013-10-19,152.55183,142.95166,152.6685,142.47949
"BTC",2013-10-21,164.31499,160.33883,164.3315,159.89666
"BTC",2013-10-23,188.29716,177.63333,188.82383,177.11399
"BTC",2013-10-25,180.355,200.70166,201.33316,158.72216
"BTC",2013-10-27,177.6965,175.03166,180.3185,174.74483
"BTC",2013-10-29,192.75666,187.15983,192.83983,185.88116
"BTC",2013-10-31,196.02499,197.4,198.79333,192.83366
"BTC",2013-11-02,198.93233,198.04883,199.09783,195.49
"BTC",2013-11-04,210.3075,200.543,211.17133,200.296
"BTC",2013-11-06,248.25333,225.02,248.32116,221.84833
"BTC",2013-11-08,294.48699,262.32666,294.48749,260.45166
"BTC",2013-11-10,285.8875,331.10325,355.2275,277.25275
"BTC",2013-11-12,338.137,304.97974,339.795,303.6505
"BTC",2013-11-14,402.954,357.48,409.51,350.20999
"BTC",2013-11-16,420.21649,409.10375,427.90425,386.565
"BTC",2013-11-18,510.6025,437.29725,512.16999,436.13324
"BTC",2013-11-20,531.54249,693.65,716.825,394.90624
"BTC",2013-11-22,681.33,574.71599,705.49725,570.78025
"BTC",2013-11-24,746.19374,774.18,823.41525,691.6925
"BTC",2013-11-26,789.36475,768.8475,793.71424,739.8375
"BTC",2013-11-28,934.355,893.1815,965.2525,870.38525
"BTC",2013-11-30,1154.92593,1068.363,1157.49894,1028.22683
"BTC",2013-12-02,1019.78966,1099.51926,1099.70754,783.68616
"BTC",2013-12-04,1071.2848,1028.845,1092.83331,1021.177
"BTC",2013-12-06,1004.61633,1139.33083,1144.36916,870.3838
"BTC",2013-12-08,689.81,759.43041,826.32766,558.08333
"BTC",2013-12-10,916.77599,841.83966,948.68183,809.91748
"BTC",2013-12-12,866.29003,967.42866,975.62383,832.22683
"BTC",2013-12-14,889.81946,911.23204,933.17016,859.44999
"BTC",2013-12-16,868.95316,848.9975,886.23583,819.43828
"BTC",2013-12-18,654.06266,653.80483,757.02366,647.62209
"BTC",2013-12-20,693.05883,553.69166,710.3255,545.53966
"BTC",2013-12-22,595.95883,649.38965,651.8435,580.72816
"BTC",2013-12-24,671.58116,647.68316,685.3675,632.5431
"BTC",2013-12-26,702.00083,659.84333,720.22498,651.53
"BTC",2013-12-28,734.01166,758.01016,772.90666,723.98666
"BTC",2013-12-30,752.82022,717.92623,759.6362,713.751
"BTC",2014-01-01,768.40783,744.17249,772.959,733.19433
"BTC",2014-01-03,804.02719,769.09849,826.34166,768.15367
"BTC",2014-01-05,871.11583,813.31748,873.98,808.71666
"BTC",2014-01-07,962.46447,970.65083,1023.16666,914.76666
"BTC",2014-01-09,860.84166,855.75933,886.02916,822.32296
"BTC",2014-01-11,892.26115,847.5325,902.035,837.57458
"BTC",2014-01-13,873.27168,916.69666,920.71733,857.73833
"BTC",2014-01-15,853.25666,863.69888,871.11385,839.125
"BTC",2014-01-17,842.19173,874.07416,879.62999,841.27916
"BTC",2014-01-19,838.42916,834.86666,850.56666,834.08333
"BTC",2014-01-21,873.28916,881.87583,882.45166,857.84584
"BTC",2014-01-23,864.56116,874.13266,874.13266,854.05916
"BTC",2014-01-25,834.57416,838.14997,838.26,810.64042
"BTC",2014-01-27,887.08337,858.12641,899.2283,851.74833
"BTC",2014-01-29,832.89496,830.53133,860.24269,798.18333
"BTC",2014-01-31,841.48914,832.87399,855.86653,816.05635
"BTC",2014-02-02,854.7225,847.36383,869.4796,843.35344
"BTC",2014-02-04,847.70697,856.03366,856.03366,842.73749
"BTC",2014-02-06,802.75333,844.28836,846.35105,793.63344
"BTC",2014-02-08,692.66914,748.43559,758.33833,658.83333
"BTC",2014-02-10,700.44843,668.86463,711.97109,662.74428
"BTC",2014-02-12,665.7975,694.3125,710.6525,635.23249
"BTC",2014-02-14,578.4125,645.615,653.355,532.3125
"BTC",2014-02-16,656.2725,641.91,657.99749,626.80499
"BTC",2014-02-18,634.99,611.04499,653.75,603.0675
"BTC",2014-02-20,619.8425,618.79,625.4225,612.5025
"BTC",2014-02-22,561.535,545.7625,581.24,538.12249
"BTC",2014-02-24,572.7675,622.22,637.5025,567.5
"BTC",2014-02-26,550.6025,501.155,562.54499,418.755
"BTC",2014-02-28,567.2925,573.1025,583.7825,558.2225
"BTC",2014-03-02,560.195,551.73,570.0025,548.7825
"BTC",2014-03-04,666.1475,567.7,681.615,562.3025
"BTC",2014-03-06,662.0225,660.84,666.3275,643.525
"BTC",2014-03-08,612.33,651.285,653.98249,611.02
"BTC",2014-03-10,637.615,611.1625,644.8825,610.0675
"BTC",2014-03-12,633.74749,626,645.75,615.2725
"BTC",2014-03-14,636.41414,631.755,641.66999,631.315
"BTC",2014-03-16,632.95333,628.18751,636,625.54183
"BTC",2014-03-18,617.24333,630.34833,630.77666,616.17333
"BTC",2014-03-20,601.015,616.86665,621.18353,601.00996
"BTC",2014-03-22,570.36168,581.33333,605.15331,563.46166
"BTC",2014-03-24,557.16833,562.95333,570.33081,551.16331
"BTC",2014-03-26,572.49161,573.34998,585.57499,570.43831
"BTC",2014-03-28,509.70665,570.54833,571.57667,471.01833
"BTC",2014-03-30,486.80845,499.24998,504.21231,483.5116
"BTC",2014-04-01,464.88,472.4783,472.4783,442.19166
"BTC",2014-04-03,427.87498,480.16581,494.98333,419.705
"BTC",2014-04-05,453.87148,432.99716,455.99333,428.63
"BTC",2014-04-07,456.46948,462.445,466.475,450.80566
"BTC",2014-04-09,450.48083,452.81,456.88188,446.71668
"BTC",2014-04-11,374.59166,426.98333,427.5385,344.22166
"BTC",2014-04-13,423.51566,438.24666,438.91098,413.08833
"BTC",2014-04-15,455.28316,409.03166,470.95333,406.85585
"BTC",2014-04-17,522.455,517.09666,543.31749,493.08333
"BTC",2014-04-19,469.38332,490.8785,497.77333,468.16166
"BTC",2014-04-21,505.09665,507.80663,510.83165,489.18038
"BTC",2014-04-23,487.84,497.65001,498.59166,482.73666
"BTC",2014-04-25,469.08816,487.11333,500.62333,468.98333
"BTC",2014-04-27,452.14829,448.77834,463.18666,448.50008
"BTC",2014-04-29,432.60498,426.78166,445.73085,421.07659
"BTC",2014-05-01,454.55666,444.85668,455.43,432.97666
"BTC",2014-05-03,441.97833,453.59833,453.59833,439.90333
"BTC",2014-05-05,432.78748,438.29035,438.44883,428.51836
"BTC",2014-05-07,428.42593,418.61831,431.33331,418.01666
"BTC",2014-05-09,439.04,442.57666,445.01666,434.30833
"BTC",2014-05-11,449.74166,449.04333,453.54333,446.21333
"BTC",2014-05-13,437,434.27,440.21333,431.515
"BTC",2014-05-15,445.045,438.88,445.89666,438.88
"BTC",2014-05-17,445.60666,443.18,447.15166,442.29
"BTC",2014-05-19,444.73833,445.15666,446.18166,442.35
"BTC",2014-05-21,489.86999,455.65333,494.21,450.16333
"BTC",2014-05-23,522.31,490.18666,535.09,487.815
"BTC",2014-05-25,533.92999,512.30833,535.725,511.69833
"BTC",2014-05-27,581.51,579.59333,589.78166,575.84
"BTC",2014-05-29,562.4,572.44833,576.55666,560.415
"BTC",2014-05-31,612.12666,571.845,622.50666,566.69666
"BTC",2014-06-02,634.98333,638.16333,676.60333,620.585
"BTC",2014-06-04,627.79833,660.24666,675.73833,617.78666
"BTC",2014-06-06,652.52666,642.89166,664.97833,639.42833
"BTC",2014-06-08,652.59166,648.60166,656.84666,646.63166
"BTC",2014-06-10,644.085,652.11,653.34666,637.57833
"BTC",2014-06-12,632.55,642.00666,646.385,624.16166
"BTC",2014-06-14,588.52333,585.48333,613.465,584.635
"BTC",2014-06-16,589.06666,570.28833,593.54833,551.31
"BTC",2014-06-18,610.41333,592.25666,613.99166,590.18833
"BTC",2014-06-20,594.09333,601.88666,605.93833,590.16999
"BTC",2014-06-22,599.57,582.04499,603.205,581.68666
"BTC",2014-06-24,584.64166,592.405,593.255,580.84
"BTC",2014-06-26,571.76666,575.905,576.03166,558.58333
"BTC",2014-06-28,597.66833,582.43166,600.72,576.24833
"BTC",2014-06-30,597.51333,598.73333,600.54166,588.98
"BTC",2014-07-02,637.85625,647.12249,654.76874,627.77125
"BTC",2014-07-04,643.95124,642.65125,646.88375,635.26625
"BTC",2014-07-06,631.03,628.41625,635.89874,624.50125
"BTC",2014-07-08,621.24249,631.29875,633.0625,612.2625
"BTC",2014-07-10,621.3075,620.72,624.01,616.165
"BTC",2014-07-12,634.35749,616.83124,636.61875,613.94875
"BTC",2014-07-14,621.42499,627.69,634.12,621.28
"BTC",2014-07-16,619.8075,618.73875,622.46124,617.84124
"BTC",2014-07-18,623.49749,614.68875,627.04625,611.75
"BTC",2014-07-20,623.00625,623.99625,626.80875,621.365
"BTC",2014-07-22,622.10749,617.96124,622.20624,616.73375
"BTC",2014-07-24,617.6875,618.4475,619.92375,616.93375
"BTC",2014-07-26,597.585,602.93125,605.98125,593.5875
"BTC",2014-07-28,580.11,592.96375,595.87875,579.15125
"BTC",2014-07-30,580.5175,585.44875,586.625,577.58124
"BTC",2014-08-01,583.39,564.57,587.96,564.57
"BTC",2014-08-03,581.52,593.80625,594.16875,580.22625
"BTC",2014-08-05,582.33375,585.80125,592.83624,581.84375
"BTC",2014-08-07,583.62375,582.52125,586.8775,578.80125
"BTC",2014-08-09,585.39625,595.80875,596.385,585.23125
"BTC",2014-08-11,588.7525,586.05875,593.6975,585.695
"BTC",2014-08-13,565.55125,566.31625,573.31375,562.8375
